name,wins,losses,weight,rating,Gfactor
Tony Gravely,23,9,135 lbs.,64.43953633696192,84.81677566083309
Michael Graves,6,0,170 lbs.,59.20289695717774,43.90483158694692
Shelton Graves,7,3,255 lbs.,57.159457276285394,36.635822717746755
James Gray,4,1,135 lbs.,54.06971037113967,30.48898845260032
Kevin Gray,9,4,125 lbs.,59.07900998597903,43.36358154312759
Sam Greco,3,1,205 lbs.,52.06183508677518,28.346859193653422
King Green,32,16,155 lbs.,57.2118606503511,36.78323791331739
Desmond Green,23,8,155 lbs.,65.87291549461628,103.82226354750685
Gabe Green,11,5,155 lbs.,60.550040847060814,50.82343725273777
Maurice Greene,9,7,258 lbs.,55.30568467966773,32.42709683704289
Matt Grice,15,5,145 lbs.,65.01601258005131,92.0181614669786
Forrest Griffin,19,7,205 lbs.,65.26628909345781,95.33093250306852
Tyson Griffin,16,8,145 lbs.,61.71328034441558,58.56400258644066
Max Griffin,20,10,170 lbs.,61.658317986660734,58.15659039459727
Jordan Griffin,18,9,145 lbs.,61.82535181056968,59.408309303370864
Chad Griggs,11,3,205 lbs.,63.27372427295307,72.06634846366211
Charalampos Grigoriou,8,5,135 lbs.,56.28667230453116,34.426497814263044
Chuck Grigsby,23,10,205 lbs.,63.03734717286062,69.7686143608581
Rodrigo Gripp de Sousa,7,9,205 lbs.,50.09117566769687,27.05383082974485
Maxim Grishin,32,10,205 lbs.,65.2849301488734,95.58216462203434
Josh Grispi,14,5,145 lbs.,64.02754097852855,80.03640396373922
Garrett Gross,11,7,155 lbs.,57.943601213749474,39.03788358460307
Kendall Grove,23,17,185 lbs.,54.040154010079114,30.44931330589169
Neil Grove,12,8,265 lbs.,57.849627012060914,38.726842260410585
Chris Gruetzemacher,15,5,155 lbs.,65.01601258005131,92.0181614669786
Vik Grujic,6,6,170 lbs.,51.88192563103474,28.201232102574195
Mike Grundy,12,4,145 lbs.,63.17110556093208,71.0572519597895
Wang Guan,20,1,145 lbs.,75.15917089203602,260.233630998986
Nandor Guelmino,11,5,230 lbs.,60.550040847060814,50.82343725273777
Fabricio Guerreiro,21,5,145 lbs.,69.39424978906027,163.663839929251
Rainn Guerrero,5,2,125 lbs.,54.80536045298997,31.57299132075174
Shannon Gugerty,15,7,155 lbs.,62.21733053759749,62.507967057418895
Clay Guida,38,21,155 lbs.,51.74297578967763,28.093065545720627
Jason Guida,19,28,214 lbs.,41.11922017398561,25.219337448558093
Melvin Guillard,32,18,155 lbs.,54.74911646374996,31.48319859271972
Chris Guillen,13,16,240 lbs.,49.42335716069738,26.739861208553666
Marcelo Guimaraes,9,2,185 lbs.,61.73652297962625,58.73760273130314
Leonardo Guimaraes,11,5,185 lbs.,60.550040847060814,50.82343725273777
Brad Gumm,10,6,170 lbs.,57.92686889052502,38.98201573573219
John Gunderson,35,16,155 lbs.,57.532994908390215,37.72646364818777
John Gunther,5,1,155 lbs.,56.024439078730964,33.84597190122413
Jorge Gurgel,14,10,155 lbs.,57.358056807663154,37.204027288872524
Fabio Gurgel,3,2,205 lbs.,50.92898179248429,27.52834362806084
Luis Gurule,10,0,125 lbs.,66.1008320000805,107.17791582034927
Bogdan Guskov,16,3,205 lbs.,68.8891815045516,154.30498231060994
Gugun Gusman,8,4,135 lbs.,57.53870091183134,37.743859177325
Andre Gusmao,6,3,205 lbs.,55.42165909709045,32.64002301168613
Alexander Gustafsson,18,8,205 lbs.,63.20058161105301,71.34527694225
Andreas Gustafsson,11,2,170 lbs.,64.68117135832257,87.76234253165141
Justin Guthrie,18,9,170 lbs.,61.82535181056968,59.408309303370864
Horacio Gutierrez,4,3,145 lbs.,51.74222331908354,28.09248973765414
Chris Gutierrez,21,6,135 lbs.,67.8842472248527,136.22937145120687
Mando Gutierrez,7,2,135 lbs.,58.4308999243863,40.76102808081713
Mike Guymon,15,6,170 lbs.,63.60127942840182,75.40789721649297
Chelsea Hackett,3,1,125 lbs.,52.06183508677518,28.346859193653422
Keith Hackney,2,2,200 lbs.,48.92530062873384,26.537212050237265
Cody Haddon,8,1,135 lbs.,61.46437758504153,56.75343681732211
Jake Hadley,11,4,135 lbs.,61.89690290533907,59.956971233710675
Steve Hadsel,3,0,170 lbs.,53.21988732558091,29.453972600667946
Damir Hadzovic,14,7,155 lbs.,61.271408726670565,55.40953451685746
Bassil Hafez,9,3,170 lbs.,60.39315075083401,49.91266518450327
Tim Hague,21,13,260 lbs.,58.195265813290895,39.90418109188992
Yazan Hajeh,6,1,145 lbs.,57.91465583510212,38.94137092717693
Stoney Hale,5,3,--,53.612808691599206,29.906179409521528
Kevin Haley,6,4,205 lbs.,54.215696822065794,30.68914930304124
Mark Hall,5,6,190 lbs.,50.18860493756797,27.10411568839985
Uriah Hall,18,11,185 lbs.,59.16401508728804,43.73337749888284
Ryan Hall,9,2,145 lbs.,61.73652297962625,58.73760273130314
Dennis Hallman,53,20,155 lbs.,53.2989983334475,29.541592213146508
Piotr Hallmann,18,6,155 lbs.,66.04349260223744,106.32537271852651
Tony Halme,0,4,300 lbs.,42.92367163026688,25.34422915088604
Brandon Halsey,9,3,185 lbs.,60.39315075083401,49.91266518450327
John Halverson,16,8,155 lbs.,61.71328034441558,58.56400258644066
Seo Hee Ham,17,8,115 lbs.,62.491014299503355,64.81164253062431
Frank Hamaker,1,0,--,49.00517748923205,26.568055454470603
Kazuhiro Hamanaka,5,7,185 lbs.,49.096512691018816,26.604078379857206
Rami Hamed,13,3,170 lbs.,65.78705782984359,102.58128160956456
Matt Hamill,12,8,205 lbs.,57.849627012060914,38.726842260410585
Jeremy Hamilton,9,2,185 lbs.,61.73652297962625,58.73760273130314
Anthony Hamilton,15,9,260 lbs.,59.53912068136256,45.44958944866257
CJ Hamilton,11,4,125 lbs.,61.89690290533907,59.956971233710675
Jared Hamman,14,6,185 lbs.,62.63431673658675,66.06500254863008
James Hammortree,6,3,185 lbs.,55.42165909709045,32.64002301168613
Dean Hancock,2,1,155 lbs.,50.01358447107079,27.014639912275545
Chad Hanekom,9,3,185 lbs.,60.39315075083401,49.91266518450327
Joachim Hansen,23,14,150 lbs.,57.7271363133315,38.33125691834288
Kay Hansen,7,6,115 lbs.,53.5087321424889,29.782179919519827
Nasrat Haqparast,17,5,155 lbs.,66.75457105753162,117.28040573507938
Shin Haraguchi,8,2,145 lbs.,60.126927176067355,48.43385580271887
Janay Harding,2,3,135 lbs.,47.860697587003706,26.1794140449497
Antoni Hardonk,8,6,245 lbs.,55.06188754543499,31.998184044306477
George Hardwick,12,2,155 lbs.,66.01269064996926,105.8696985294906
Dan Hardy,25,10,170 lbs.,63.74348858366048,76.91653736116871
Veronica Hardy,9,4,125 lbs.,59.07900998597903,43.36358154312759
Greg Hardy,7,5,265 lbs.,54.69896884755284,31.404150977284544
Tobias Harila,12,3,--,64.57627001778874,86.47065209547401
Baru Harn,1,2,265 lbs.,46.89569853498966,25.92738270589456
Scott Harper,12,7,185 lbs.,59.13642164701243,43.61258269200131
Josiah Harrell,7,0,170 lbs.,61.0592594012362,53.99051403242137
Gerry Harris,1,4,270 lbs.,44.87702430152132,25.560552873945895
Gerald Harris,23,5,185 lbs.,70.36720826896685,181.88032365919037
Phil Harris,22,12,125 lbs.,59.92837953751045,47.383737563369785
Walt Harris,13,10,250 lbs.,56.397404022187644,34.68255645270839
Dhafir Harris,2,0,257 lbs.,51.126075864639354,27.654914194043112
Trevor Harris,2,2,145 lbs.,48.92530062873384,26.537212050237265
Carlston Harris,19,6,170 lbs.,66.71805836123801,116.69818918110317
Kayla Harrison,18,1,135 lbs.,73.72290248839036,240.16674258831782
Collin Hart,6,3,185 lbs.,55.42165909709045,32.64002301168613
Joey Hart,6,2,170 lbs.,56.65444653704023,35.30312007190699
Dale Hartt,6,3,155 lbs.,55.42165909709045,32.64002301168613
Luke Hartwig,0,1,--,45.85221283431107,25.714944537346337
Clay Harvison,13,6,170 lbs.,61.585295305454196,57.62200891161514
Hidehiko Hasegawa,19,20,170 lbs.,49.03212307749684,26.578598386772278
Chris Haseman,20,17,205 lbs.,52.85795087259175,29.07388676900058
Takayo Hashi,15,6,135 lbs.,63.60127942840182,75.40789721649297
Tomohiko Hashimoto,1,4,250 lbs.,44.87702430152132,25.560552873945895
Justin Haskins,7,6,170 lbs.,53.5087321424889,29.782179919519827
Hayder Hassan,6,3,170 lbs.,55.42165909709045,32.64002301168613
Ahmad Hassanzada,12,3,155 lbs.,64.57627001778874,86.47065209547401
Daiki Hata,17,11,139 lbs.,58.49976722665399,41.020116436246276
John Hathaway,17,2,170 lbs.,71.30901629661102,199.3273303518078
Phil Hawes,12,6,185 lbs.,60.45183946448153,50.24989139885395
Justin Hawes,6,9,205 lbs.,48.568271882094045,26.406565430583605
Chris Hawk,5,10,205 lbs.,45.96076085914788,25.734563482113202
Del Hawkins,22,17,135 lbs.,53.68588806270783,29.995132173872463
Tommy Hayden,11,3,145 lbs.,63.27372427295307,72.06634846366211
Mike Hayes,20,12,230 lbs.,59.00417140846653,43.04367207157062
Ryan Hayes,7,6,--,53.5087321424889,29.782179919519827
Gerric Hayes,8,11,--,49.32631841705944,26.698396669875105
Josh Haynes,14,11,170 lbs.,56.10995897360906,34.031379912710065
Dustin Hazelett,12,7,170 lbs.,59.13642164701243,43.61258269200131
James Head,9,4,170 lbs.,59.07900998597903,43.36358154312759
Pat Healy,34,23,155 lbs.,49.24005225124439,26.662361072219568
Ryan Healy,25,14,155 lbs.,58.373792990776224,40.54919057868697
Spencer Hearns,1,0,185 lbs.,49.00517748923205,26.568055454470603
David Heath,18,7,205 lbs.,64.6064017268156,86.83964379051471
Chris Heatherly,9,4,155 lbs.,59.07900998597903,43.36358154312759
Jake Hecht,11,4,170 lbs.,61.89690290533907,59.956971233710675
Nick Hein,14,5,155 lbs.,64.02754097852855,80.03640396373922
Ian Heinisch,14,5,185 lbs.,64.02754097852855,80.03640396373922
Marcin Held,23,7,155 lbs.,67.3381784293179,126.85456002949054
Delson Heleno,29,10,185 lbs.,64.76794011982915,88.84576031123188
Matt Helm,1,1,155 lbs.,47.93883634579262,26.202586774881162
Elisha Helsper,0,4,135 lbs.,42.92367163026688,25.34422915088604
Dan Henderson,32,15,185 lbs.,58.48446894781026,40.962217194174706
Benson Henderson,24,7,170 lbs.,67.73548096179601,133.63910241453084
Ron Henderson,4,3,125 lbs.,51.74222331908354,28.09248973765414
Josh Hendricks,19,11,235 lbs.,59.76831412070296,46.568833936534276
Johny Hendricks,18,8,185 lbs.,63.20058161105301,71.34527694225
Cory Hendricks,3,1,205 lbs.,52.06183508677518,28.346859193653422
Luis Henrique,10,5,243 lbs.,59.2153816771732,43.96019414414485
Jose Henrique,5,1,170 lbs.,56.024439078730964,33.84597190122413
Diego Henrique da Silva,8,4,185 lbs.,57.53870091183134,37.743859177325
Danny Henry,12,4,145 lbs.,63.17110556093208,71.0572519597895
Victor Henry,24,7,135 lbs.,67.73548096179601,133.63910241453084
TJ Hepburn,4,2,155 lbs.,52.89316618261452,29.109417447117895
Jai Herbert,13,5,155 lbs.,62.955185340777014,68.99189601074579
Ed Herman,27,16,205 lbs.,56.3593877752826,34.59389769880719
Dave Herman,22,6,242 lbs.,68.3847724504575,145.11941166575065
Jack Hermansson,24,8,185 lbs.,66.2615728173741,109.59730926898519
Noe Hernandez,5,5,--,51.304989448671215,27.775236569911602
Joe Hernandez,0,1,--,45.85221283431107,25.714944537346337
Ramiro Hernandez,19,9,135 lbs.,62.45683363756441,64.5175164030759
Alexander Hernandez,15,8,155 lbs.,60.8634960493582,52.73386017061742
Anthony Hernandez,13,2,185 lbs.,67.2504109651549,125.38369476860383
Nohelin Hernandez,9,4,135 lbs.,59.07900998597903,43.36358154312759
Carlos Hernandez,9,4,125 lbs.,59.07900998597903,43.36358154312759
Leslie Hernandez,4,2,115 lbs.,52.89316618261452,29.109417447117895
Paul Herrera,1,1,185 lbs.,47.93883634579262,26.202586774881162
Chris Herrera,3,2,185 lbs.,50.92898179248429,27.52834362806084
Geane Herrera,9,3,125 lbs.,60.39315075083401,49.91266518450327
Alvaro Herrera Mendoza,9,6,155 lbs.,56.53589240967227,35.01227361297678
Felice Herrig,14,10,115 lbs.,57.358056807663154,37.204027288872524
Heath Herring,28,16,250 lbs.,56.57023956515573,35.09571140655906
Jon Hess,1,1,295 lbs.,47.93883634579262,26.202586774881162
Clint Hester,11,6,205 lbs.,59.232486190589135,44.036288311614925
Brandon Hester,3,0,205 lbs.,53.21988732558091,29.453972600667946
Jimy Hettes,11,3,145 lbs.,63.27372427295307,72.06634846366211
Conor Heun,9,5,155 lbs.,57.79346461527691,38.544096421255695
Marcus Hicks,10,4,155 lbs.,60.53255586453498,50.7204597015031
Jay Hieron,23,7,170 lbs.,67.3381784293179,126.85456002949054
Brady Hiestand,9,2,135 lbs.,61.73652297962625,58.73760273130314
Lee Higgins,2,1,155 lbs.,50.01358447107079,27.014639912275545
Jason High,21,6,155 lbs.,67.8842472248527,136.22937145120687
Richie Hightower,8,4,170 lbs.,57.53870091183134,37.743859177325
Alex Higley,4,3,145 lbs.,51.74222331908354,28.09248973765414
Corey Hill,6,9,155 lbs.,48.568271882094045,26.406565430583605
Isaiah Hill,5,7,155 lbs.,49.096512691018816,26.604078379857206
Angela Hill,17,14,115 lbs.,54.76343765474612,31.5059476919041
Tyler Hill,8,2,170 lbs.,60.126927176067355,48.43385580271887
Jamahal Hill,12,2,205 lbs.,66.01269064996926,105.8696985294906
Kailan Hill,4,1,185 lbs.,54.06971037113967,30.48898845260032
Branden Lee Hinkle,17,11,235 lbs.,58.49976722665399,41.020116436246276
Hatsu Hioki,29,10,145 lbs.,64.76794011982915,88.84576031123188
Alan Hiro,14,5,135 lbs.,64.02754097852855,80.03640396373922
Kuniyoshi Hironaka,23,9,168 lbs.,64.43953633696192,84.81677566083309
Mizuto Hirota,18,10,155 lbs.,60.480046687295435,50.41344121189533
Yuji Hisamatsu,16,22,185 lbs.,45.354035049698986,25.63140003487387
An Tuan Ho,6,1,125 lbs.,57.91465583510212,38.94137092717693
Kwan Ho Kwak,9,2,135 lbs.,61.73652297962625,58.73760273130314
Matt Hobar,9,3,135 lbs.,60.39315075083401,49.91266518450327
Bobby Hoffman,36,10,245 lbs.,65.7477982105575,102.01808258139219
Chris Hofmann,9,2,170 lbs.,61.73652297962625,58.73760273130314
Sam Hoger,10,4,205 lbs.,60.53255586453498,50.7204597015031
Andrew Holbrook,12,3,155 lbs.,64.57627001778874,86.47065209547401
Sean Holden,5,2,170 lbs.,54.80536045298997,31.57299132075174
Chris Holdsworth,6,0,135 lbs.,59.20289695717774,43.90483158694692
Kevin Holland,26,12,185 lbs.,61.28657705721654,55.513317779288386
Roger Hollett,13,5,205 lbs.,62.955185340777014,68.99189601074579
Max Holloway,26,8,145 lbs.,66.9242141862463,120.01211607815378
Gabrielle Holloway,6,5,145 lbs.,53.03597600268278,29.25666490565136
Jeremie Holloway,8,3,170 lbs.,58.81857937362312,42.27270735498973
Holly Holm,15,7,135 lbs.,62.21733053759749,62.507967057418895
Rex Holman,4,2,205 lbs.,52.89316618261452,29.109417447117895
Joseph Holmes,8,4,185 lbs.,57.53870091183134,37.743859177325
Kurt Holobaugh,22,8,155 lbs.,65.44107862735909,97.71096212702378
Paddy Holohan,12,2,125 lbs.,66.01269064996926,105.8696985294906
Ben Holscher,4,0,155 lbs.,55.27242535501433,32.36710804533558
Mark Holst,12,6,155 lbs.,60.45183946448153,50.24989139885395
Scott Holtzman,14,6,155 lbs.,62.63431673658675,66.06500254863008
Sabah Homasi,11,8,170 lbs.,56.68276207105187,35.37378244376717
